source_col,input_cols,target_col
Fastest laps,Race<|>Circuit<|>Date<|>Pole position<|>Fastest lap<|>Winning driver<|>Constructor<|>Report,Fastest lap
Voice actor (Eagle Riders),Character Name<|>Voice Actor (Japanese)<|>Voice Actor (English 1997 / Saban)<|>Voice Actor (English 1998 / Pioneer)<|>Voice Actor (English 2006 / FUNimation),Voice Actor (Japanese)
Original Canadian air date,Series #<|>Season #<|>Title<|>Directed by<|>Original air date<|>Production code,Original air date
Original Canadian air date,Series #<|>Title<|>Directed by<|>Original air date<|>Production code,Original air date
ZIP code Prefix(es),Title<|>Director<|>Writer<|>Original airdate<|>Prod. Code,Prod. Code
Opponent in the Final,Outcome<|>Date<|>Surface<|>Partnered with<|>Opponents in Final<|>Score in Final,Opponents in Final
Final score,Outcome<|>Date<|>Surface<|>Partnered with<|>Opponents in Final<|>Score in Final,Score in Final
from,Name<|>Country<|>Type<|>Moving from<|>Transfer window<|>Ends<|>Transfer fee,Moving from
First Played,Name<|>Total W-L<|>Singles W-L<|>Doubles W-L<|>No. of ties<|>First year played<|>No. of years played,First year played
No. of times visited,Name<|>Total W-L<|>Singles W-L<|>Doubles W-L<|>No. of ties<|>First year played<|>No. of years played,No. of years played
Winning team,Rnd<|>Circuit<|>LMP Winning Team<|>LMPC Winning Team<|>GT Winning Team<|>GTC Winning Team<|>Results,LMPC Winning Team
Change (SW Eng),Department<|>Projects<|>Municipalities<|>Farmers<|>Irrigated Ha<|>BID/PRONAR Investment (US$)<|>Local Investment (US$)<|>Total,BID/PRONAR Investment (US$)
High school,School<|>Location<|>Founded<|>Affiliation<|>Enrollment<|>Team Nickname<|>Primary conference,School
Name of ground,Province<|>Population<|>Region<|>Name of City<|>Districts,Name of City
Original Canadian air date,No.<|>#<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code<|>U.S. viewers (million),Original air date
Start Time,Time<|>Home team<|>Score<|>Away team<|>Venue,Time
Date of destruction,#<|>President<|>Date of birth<|>Date of inauguration<|>Age at inauguration<|>End of term<|>Length of retirement<|>Date of death<|>Lifespan,Date of death
Time to ft (m) at 25° (seconds),"Result<|>Opponent<|>Type<|>Rd., Time<|>Date<|>Location","Rd., Time"
Year ended,Year<|>Theme<|>Host city<|>Venue<|>Hosts,Year
Year ended,Year<|>Property Taxes<|>Investment Earnings<|>Other Local Sources<|>State & Federal<|>Total Revenue,Year
Other source,Year<|>Property Taxes<|>Investment Earnings<|>Other Local Sources<|>State & Federal<|>Total Revenue,Other Local Sources
Points 2,Rider<|>Horse<|>Faults<|>Round 1 Points<|>Total,Round 1 Points
Time ( ET ),Rider<|>Horse<|>Time ( s )<|>Faults<|>Total time ( s )<|>Points,Time ( s )
1991,Reservation<|>Location<|>1969<|>1979<|>1989<|>2000,1989
1976,Reservation<|>Location<|>1969<|>1979<|>1989<|>2000,1979
Academy Award,Year<|>Award<|>Festival<|>Nominated work<|>Result,Award
Year ended,Year<|>Award<|>Festival<|>Nominated work<|>Result,Year
Year ended,Name<|>Number<|>Position<|>Height<|>Year<|>Hometown,Year
"Area (1930) in 1,000skm 2",District<|>Population (2006_est.)<|>Area (km²)<|>Density (/km²)<|>Median monthly per capita / labour force income (HKD),Area (km²)
Population (2000 census),District<|>Population (2006_est.)<|>Area (km²)<|>Density (/km²)<|>Median monthly per capita / labour force income (HKD),Population (2006_est.)
Last season,Season<|>Conference<|>Division<|>Finish<|>Wins<|>Losses<|>Win%,Season
Odds of Winning,Divisions<|>Prize (EUR)<|>Odds of winning (1in)<|>Number of winning tickets<|>In order to win,Odds of winning (1in)
Year ended,Year<|>Winner<|>Jockey<|>Trainer<|>Time<|>Grade,Year
Start Time,Year<|>Winner<|>Jockey<|>Trainer<|>Time<|>Grade,Time
year,Team<|>Hosted<|>Average<|>Highest<|>Lowest<|>Total<|>Last Year<|>Up/Down,Last Year
2nd pers. sing.,Rank<|>Name<|>Nationality<|>1st (m)<|>2nd (m)<|>Points<|>Overall WC points (Rank),2nd (m)
Original Canadian air date,Series<|>Season<|>Original air date<|>Production code<|>Episode title,Original air date
Last season,Series<|>Season<|>Original air date<|>Production code<|>Episode title,Season
High school,School<|>Location<|>Founded<|>Enrollment<|>Nickname,School
High school,School<|>Mascot<|>Conference<|>National Titles<|>Founded,School
Episode number Production number,Episode Number<|>Location<|>Original Airdate<|>Challenge Winner<|>Challenge,Episode Number
Change (SW Eng),Rural municipality (RM)<|>RM No.<|>SARM Div. No.<|>Census Div. No.<|>Population (2011)<|>Population (2006)<|>Change (%)<|>Land area (km²)<|>Population density (per km²),Change (%)
Population (2000 census),Rural municipality (RM)<|>RM No.<|>SARM Div. No.<|>Census Div. No.<|>Population (2011)<|>Population (2006)<|>Change (%)<|>Land area (km²)<|>Population density (per km²),Population (2011)
Published in English,Original title<|>Title in English<|>Genre<|>Role<|>Directed by,Title in English
Episode number Production number,Episode Number<|>Air Date<|>Event 1<|>Event 2<|>Event 3<|>Event 4,Episode Number
On air date,Episode Number<|>Air Date<|>Event 1<|>Event 2<|>Event 3<|>Event 4,Air Date
Year ended,Year<|>Result<|>World Rank<|>Location<|>Date,Year
Population (2000 census),Place Name<|>County(ies) [A ]<|>Population (2010)<|>Land Area (2010)<|>Density (2010),Population (2010)
Completed?,Season<|>Timeslot ( EDT )<|>Season Premiere<|>Season Finale<|>TV Season<|>Rank ( Spanish language )<|>Viewers (in millions),Viewers (in millions)
Last season,Season<|>Timeslot ( EDT )<|>Season Premiere<|>Season Finale<|>TV Season<|>Rank ( Spanish language )<|>Viewers (in millions),Season
Initial-syllable open semi-open unstressed vowels,Initial-syllable open/semi-open unstressed vowels<|>17th c.<|>American<|>British<|>Australian<|>Examples,Initial-syllable open/semi-open unstressed vowels
Initial-syllable open semi-open unstressed vowels,"""Long"" vowels<|>17th c.<|>American<|>British<|>Australian","""Long"" vowels"
Kind of the song,Date<|>Opponent<|>Venue<|>Result<|>Attendance<|>Competition<|>Man of the Match,Man of the Match
Episode number Production number,Episode Number<|>Broadcast Date<|>Title<|>Written by<|>Viewership (Millions),Episode Number
"Urban rude death rate (per 1,000)",Average population<|>Live births<|>Deaths<|>Natural change<|>Crude birth rate (per 1000)<|>Crude death rate (per 1000)<|>Natural change (per 1000),Crude death rate (per 1000)
Change (SW Eng),Average population<|>Live births<|>Deaths<|>Natural change<|>Crude birth rate (per 1000)<|>Crude death rate (per 1000)<|>Natural change (per 1000),Natural change (per 1000)
Last season,Season<|>Series<|>Team<|>Races<|>Wins<|>Poles<|>F/Laps<|>Points<|>Position,Season
"Area (1930) in 1,000skm 2","Agent<|>Melting / boiling point<|>Effectiveness as blood agent<|>Persistence, open area<|>Persistence, enclosed area<|>Field stability<|>Storage stability<|>Toxicity as blood agent","Persistence, open area"
Peak chart position,Date<|>Title<|>Peak position<|>Weeks<|>Sales,Peak position
Year ended,Year<|>Team<|>Comp<|>Rate<|>RAtt<|>RYds<|>RAvg,Year
Year ended,Year<|>Team<|>Comp<|>Long<|>Rate<|>RAtt<|>RYds<|>RAvg,Year
Year ended,Year<|>Matches<|>Wins<|>Losses<|>No Result<|>Tied<|>Success Rate<|>Position<|>Summary,Year
Density (inhabitants km 2 ),Municipality<|>No. of Barangays<|>Area (hectares)<|>Population (2007)<|>Population (2010)<|>Pop. density (per km 2 ),Pop. density (per km 2 )
"Area (1930) in 1,000skm 2",Municipality<|>No. of Barangays<|>Area (hectares)<|>Population (2007)<|>Population (2010)<|>Pop. density (per km 2 ),Area (hectares)
Population (2000 census),Municipality<|>No. of Barangays<|>Area (hectares)<|>Population (2007)<|>Population (2010)<|>Pop. density (per km 2 ),Population (2007)
Singapore League Cup,R<|>Player<|>Position<|>The Championship<|>FA Cup<|>League Cup<|>Total,League Cup
FA Cup goals,R<|>Player<|>Position<|>The Championship<|>FA Cup<|>League Cup<|>Total,FA Cup
(BH) max (kJ m 3 ),Vehicle code<|>Bore (mm)<|>Stroke (mm)<|>Capacity (cm 3 )<|>Compression ratio<|>Torque (N m)<|>Power (HP),Capacity (cm 3 )
Standard torque (lb ft),Vehicle code<|>Bore (mm)<|>Stroke (mm)<|>Capacity (cm 3 )<|>Compression ratio<|>Torque (N m)<|>Power (HP),Torque (N m)
Launch site,Code & location<|>Missile Type<|>Defense Area<|>Dates<|>Control Site condition/owner<|>Launch Site condition/owner,Launch Site condition/owner
Original Canadian air date,Episode<|>Original Air Date<|>Viewers (millions)<|>Presenter<|>Location,Original Air Date
Season episode,Episode<|>Original Air Date<|>Viewers (millions)<|>Presenter<|>Location,Episode
☵ 坎 Kǎn Water,Name<|>Area (in km²)<|>Population (March 1999 census)<|>Population (July 2005 estimate)<|>Density (2005) (in h. per km²)<|>Peak of population,Area (in km²)
Population 2007 census(hab),Name<|>Area (in km²)<|>Population (March 1999 census)<|>Population (July 2005 estimate)<|>Density (2005) (in h. per km²)<|>Peak of population,Population (July 2005 estimate)
Population (2000 census),Name<|>Area (in km²)<|>Population (March 1999 census)<|>Population (July 2005 estimate)<|>Density (2005) (in h. per km²)<|>Peak of population,Population (March 1999 census)
"GDP (PPP) (USD, per capita)",Name<|>Area (in km²)<|>Population (March 1999 census)<|>Population (July 2005 estimate)<|>Density (2005) (in h. per km²)<|>Peak of population,Density (2005) (in h. per km²)
Year ended,Year<|>Men's Open<|>Women's Open<|>Mixed Open<|>Men's u20<|>Women's u20<|>Senior Mixed<|>Men's 30<|>Women's 30<|>Men's 35<|>Women's 35<|>Men's 40<|>Women's 40<|>Men's 45<|>Men's 50,Year
English party name,English name<|>Chinese name<|>Year signed<|>Year separated<|>Reason for separation,English name
Year ended,Year<|>Winner<|>Jockey<|>Trainer<|>Owner<|>Distance<|>Time<|>Purse,Year
Start Time,Year<|>Winner<|>Jockey<|>Trainer<|>Owner<|>Distance<|>Time<|>Purse,Time
Typ. capacity (mAh),Rank<|>Mine<|>County<|>Operator<|>Capacity (thousands of metric tons),Capacity (thousands of metric tons)
Season episode,#<|>Episode<|>AU Air Date<|>Timeslot<|>Viewers (m)<|>Nightly Rank (#)<|>Weekly Rank (#),Episode
English party name,No.<|>English name<|>Bulgarian name<|>Bulgarian name ( Transliteration )<|>Old Bulgarian Names<|>Old Bulgarian name (Transliteration)<|>Old Bulgarian name - Meaning,English name
Change (SW Eng),County<|>Total<|>Gore#<|>Gore%<|>Bush#<|>Bush%<|>Others#<|>Others%,Others%
Time to ft (m) at 25° (seconds),Date<|>Type<|>Time (greatest)<|>Saros<|>Member<|>Gamma<|>Magnitude,Time (greatest)
Year ended,Year<|>Wins<|>Earnings ($)<|>Money list rank<|>Average,Year
Last season,Season<|>Games<|>Lost<|>Tied<|>Points<|>Pct %<|>Goals for<|>Goals against,Season
Year ended,Year<|>West Manila<|>East Manila<|>Consumer Price Index (2005=100)<|>West Manila as a share of 1996 real tariff<|>East Manila as a share of 1996 real tariff,Year
Last season,Season<|>Series<|>Team Name<|>Races<|>Wins<|>Points<|>Final Placing,Season
Year ended,Year<|>Senator<|>Party<|>State<|>Result,Year
Year ended,Year<|>Date<|>Driver / Rider<|>Car / Motorcycle<|>Time<|>Speed,Year
Start Time,Year<|>Date<|>Driver / Rider<|>Car / Motorcycle<|>Time<|>Speed,Time
Car   Motorcycle,Year<|>Date<|>Driver / Rider<|>Car / Motorcycle<|>Time<|>Speed,Car / Motorcycle
Number of Candidates,Start month<|>End month<|>Cover<|>Spine<|>Indicia<|>Masthead<|>Number of issues,Number of issues
Year ended,Year<|>Pass Rate<|>% 'A' Aggregates<|>% 'B' Aggregates<|>% 'A' or 'B' Aggregates<|>Average A's per learner,Year
Date of designation,French Title<|>Date of Publication<|>English Translation<|>Writer<|>Artist,Date of Publication
Year ended,Year<|>Awards<|>Categorie<|>Movie<|>Result,Year
Population (2000 census),Municipality<|>FIPS code<|>Founded<|>Population (2010)<|>Area,Population (2010)
Last season,Season<|>Group I<|>Group II<|>Group III<|>Group IV<|>Group V<|>Group VI,Season
Year ended,Year<|>Championship<|>54 holes<|>Winning score<|>Margin<|>Runner-up,Year
% change on year,Rank 2012<|>Country<|>UNWTO Region<|>International tourism expenditure 2011<|>International tourism expenditure 2012<|>% change,% change
Height (m ft),Represent Province<|>Contestant<|>Age<|>Height (ft.)<|>Height (mtr.)<|>Hometown,Height (ft.)
On air date,Season<|>Air date<|>Winner<|>Runner-up<|>Third place<|>Host(s)<|>Judges<|>Winning mentor,Air date
Last season,Season<|>Air date<|>Winner<|>Runner-up<|>Third place<|>Host(s)<|>Judges<|>Winning mentor,Season
Year ended,Year<|>Title<|>Length<|>Format<|>Color<|>Sound,Year
Age at inauguration,Romanised name<|>Chinese name<|>age at appointment<|>Foreign nationality<|>Portfolio attachment<|>Prior occupation<|>Govt salary,age at appointment
Open Cup,Year<|>League<|>Reg. Season<|>Playoffs<|>US Open Cup<|>Avg. Attendance,US Open Cup
Year ended,Year<|>League<|>Reg. Season<|>Playoffs<|>US Open Cup<|>Avg. Attendance,Year
Year ended,Year<|>W: L: D<|>Position<|>Chairman<|>CEO<|>Coach<|>Captain<|>Vice-Captain<|>Best and Fairest<|>Leading Goalkicker,Year
Year ended,Year<|>Date<|>Location<|>Winner<|>Loser<|>Weight class,Year
Last season,Season<|>Network<|>Episodes<|>Premiered<|>Ended<|>DVD set release date,Season
Opponent in the Final,Outcome<|>Year<|>Championship<|>Surface<|>Partner<|>Opponents in the final<|>Score,Opponents in the final
Year ended,Outcome<|>Year<|>Championship<|>Surface<|>Partner<|>Opponents in the final<|>Score,Year
Year ended,Year<|>Champion<|>Runner-Up<|>Score<|>Venue,Year
Year ended,Year<|>Competition<|>Venue<|>Position<|>Performance,Year
Original Canadian air date,No.<|>#<|>Title<|>Directed by<|>Written by<|>U.S. viewers (million)<|>Original air date<|>Production code,Original air date
Year ended,Year<|>Country<|>Team<|>Individual<|>Location,Year
Prize money ( $ ),Year<|>Dates<|>Champion<|>Country<|>Winning score<|>To par<|>Margin of victory<|>Runner(s)-up<|>Purse ( $ )<|>Winner's share,Purse ( $ )
Year ended,Year<|>Dates<|>Champion<|>Country<|>Winning score<|>To par<|>Margin of victory<|>Runner(s)-up<|>Purse ( $ )<|>Winner's share,Year
R-McI 1996,Country<|>Area (000s)<|>1950 (mil)<|>1970 (mil)<|>1980 (mil)<|>1985 (mil)<|>Annual Growth (1950–1985)<|>Density (1980),1985 (mil)
"Area (1930) in 1,000skm 2",Country<|>Area (000s)<|>1950 (mil)<|>1970 (mil)<|>1980 (mil)<|>1985 (mil)<|>Annual Growth (1950–1985)<|>Density (1980),Area (000s)
Max. Demand Charge ( Rs.  kVA),"Country<|>Population (2011)<|>GDP (nominal) (2010, US$ millions)<|>Military expenditures (2011, US$ millions)<|>Military expenditures (2011, % of GDP)<|>Defence expenditures, (2011, per capita)<|>Deployable military (2011, thousands)","Defence expenditures, (2011, per capita)"
Completed?,"Country<|>Population (2011)<|>GDP (nominal) (2010, US$ millions)<|>Military expenditures (2011, US$ millions)<|>Military expenditures (2011, % of GDP)<|>Defence expenditures, (2011, per capita)<|>Deployable military (2011, thousands)","GDP (nominal) (2010, US$ millions)"
Population (2000 census),"Country<|>Population (2011)<|>GDP (nominal) (2010, US$ millions)<|>Military expenditures (2011, US$ millions)<|>Military expenditures (2011, % of GDP)<|>Defence expenditures, (2011, per capita)<|>Deployable military (2011, thousands)",Population (2011)
Year ended,Year<|>Population (Region total)<|>Population (Caloundra)<|>Population (Maroochy)<|>Population (Noosa),Year
Aver- age popu- lation (x 1000),Year<|>Population (Region total)<|>Population (Caloundra)<|>Population (Maroochy)<|>Population (Noosa),Population (Region total)
Population 2007 census(hab),Year<|>Population (Region total)<|>Population (Caloundra)<|>Population (Maroochy)<|>Population (Noosa),Population (Caloundra)
Last season,Season<|>Date<|>Home team<|>Result<|>Away team<|>Stadium,Season
Mass (M ☉ ),User<|>Unit (kWh)/Time range<|>Tariff ( Rs. /kWh)<|>Fixed Charge ( Rs. /kWh)<|>Fuel Adjustment Charge (% of Total Energy Charge)<|>Max. Demand Charge ( Rs. /kVA),Max. Demand Charge ( Rs. /kVA)
Season episode,Episode<|>Rating<|>Share<|>18–49 (Rating/Share)<|>Viewers (m),Episode
Last season,Season<|>Episodes<|>Series timeslot<|>Series premiere<|>Series final,Season
Year ended,Year<|>Song title<|>Artist<|>Master recording?<|>Release date<|>Single / Pack,Year
Song 2 title,Year<|>Song title<|>Artist<|>Master recording?<|>Release date<|>Single / Pack,Song title
Year ended,Year<|>League<|>Record<|>Reg. Season<|>Playoffs,Year
Yellow 1.09%,Interior/Roof<|>Black (UA)<|>Red (E8)<|>White (ZR)<|>Green (SW)<|>Totals,Red (E8)
Population 2007 census(hab),Administrative division<|>Area (km²) 2011**<|>Population 2001 Census (Adjusted)<|>Population 2011 Census (Adjusted)<|>Population density (/km² 2011),Population 2011 Census (Adjusted)
☵ 坎 Kǎn Water,Administrative division<|>Area (km²) 2011**<|>Population 2001 Census (Adjusted)<|>Population 2011 Census (Adjusted)<|>Population density (/km² 2011),Area (km²) 2011**
Population (2000 census),Administrative division<|>Area (km²) 2011**<|>Population 2001 Census (Adjusted)<|>Population 2011 Census (Adjusted)<|>Population density (/km² 2011),Population density (/km² 2011)
Number of episode,Episode number Production number<|>Title<|>Original airing<|>Rating<|>Share<|>18-49<|>Total viewers (in millions)<|>Rank per week,Episode number Production number
Year ended,City<|>Country<|>Continent<|>Summer<|>Winter<|>Season<|>Year,Year
Last season,City<|>Country<|>Continent<|>Summer<|>Winter<|>Season<|>Year,Season
"$50,000 to $60,000",Case/Suffix<|>we two<|>you and I<|>you two<|>them two (the two)<|>who-two,them two (the two)
Change (SW Eng),Case/Suffix<|>we two<|>you and I<|>you two<|>them two (the two)<|>who-two,who-two
1960,1950<|>General 1950<|>Senate 1950<|>House 1950<|>Governors 1950,1950
Year ended,Year<|>Player<|>Country<|>Earnings ( $ )<|>Most wins,Year
Purse ( $ ),Year<|>Player<|>Country<|>Earnings ( $ )<|>Most wins,Earnings ( $ )
Purse ( $ ),Rank<|>Player<|>Country<|>Earned<|>Earnings ( $ ),Earnings ( $ )
Year ended,Year<|>League<|>Position<|>Leading Scorer<|>Goals,Year
Prize money ( $ ),Rank<|>Player<|>Country<|>Events<|>Prize money( $ ),Prize money( $ )
Year of Issue,Date of Issue<|>Theme<|>Denomination<|>Printer<|>Quantity<|>Perforation<|>First Day Cover Cancellation,Date of Issue
Year of Issue,Date of Issue<|>Theme<|>Denomination<|>Printer<|>Quantity<|>Design<|>Perforation<|>First Day Cover Cancellation,Date of Issue
Opponent in the Final,Outcome<|>Date<|>Tournament<|>Partner<|>Opponents in the final,Opponents in the final
Year ended,Year<|>Competition Description<|>Location<|>Apparatus<|>Score-Final<|>Score-Qualifying,Year
Change (SW Eng),Year<|>Competition Description<|>Location<|>Apparatus<|>Score-Final<|>Score-Qualifying,Score-Qualifying
High school,School<|>Conference<|>Games<|>Wins<|>Losses<|>Winning Pct.,School
Last season,Season<|>Winner<|>Relegated from the Israeli Premier League<|>Promoted to the Israeli Premier League<|>Player<|>Goals,Season
"Area (1930) in 1,000skm 2",Province<|>Comune<|>Population (inh.)<|>Area (km²)<|>Total (km²),Area (km²)
Total Apps (Sub),Province<|>Comune<|>Population (inh.)<|>Area (km²)<|>Total (km²),Total (km²)
